Gene.symbol,Gene.ID,adj.P.Val,logFC
AZU1,566,1.45688878314605e-11,2.40197318979705
NME1-NME2///NME1,654364///4830,4.16367950540486e-05,2.39566283855555
SLAIN1,122060,7.37557411800325e-06,-2.39562579207483
RAB13,5872,4.03825965302563e-07,2.39548287940476
,,1,2.39378213424151
EPDR1,54749,1.21326139184283e-10,2.39016296317574
CXCR1,3577,1,-2.38888778749206
NLRP3,114548,0.268464587210866,2.38085846874603
,,2.52791419342356e-12,2.38054530960884
FAM198B,51313,1,2.37691364330272
,,5.54172091379573e-05,2.37648786159865
FAM72A///FAM72D///FAM72B,729533///728833///653820,8.0255603119528e-08,2.37433039602154
KIF20A,10112,4.95228282578454e-12,2.37317675069275
PRELID2,153768,3.67976920514768e-07,2.3715020677619
PRKAR2B,5577,0.000844317810768726,2.3713397168424
CIT,11113,9.18356887963849e-17,2.37075070203742
CCNE2,9134,1.71698537871699e-11,2.36987354354762
SMIM3,85027,1.29073930956565e-08,2.36945847277325
PRSS57,400668,1.68398482774809e-10,2.36865737568594
STEAP4,79689,1,-2.36042847671315
KIAA1551,55196,4.98673977874116e-07,-2.35586459494558
PDGFC,56034,0.00602774714981433,2.35481540587868
WDR49,151790,0.0110756517439457,2.34846204770182
LOC81691,81691,1.14688979144726e-11,2.34238707287642
S1PR1,1901,1,-2.33916779461678
PLEKHA1,59338,0.186477197420634,-2.33289046391383
HIST2H3D///HIST2H3A///HIST2H3C,653604///333932///126961,3.58143275866311e-11,2.33229368478231
CLEC12A,160364,1,2.33000459688549
RASSF3,283349,6.9647970655988e-06,-2.32466825160204
DDX58,23586,1.12369768599018e-08,-2.31890457755782
MCM10,55388,2.22728200171354e-17,2.31884765424604
CCNA1,8900,2.82151328844795e-11,2.31671020398073
GNAI1,2770,0.00158558996890493,2.30976895192971
GINS1,9837,1.65712460408991e-08,2.30885823746826
MERTK,10461,0.00386434476167993,2.30856170730045
ETS2,2114,0.213730890763769,2.30725885835261
SP140,11262,0.00348214955394243,-2.30392633617687
PNP,4860,0.00011862360399828,2.30127284865533
MELK,9833,2.16422351885463e-15,2.29731792385714
CCNA2,890,3.24514337233061e-11,2.29715325647279
STAB1,23166,0.000232805334223834,2.29600305501361
GRK5,2869,1.21528035363931e-10,-2.29230350931859
DOCK9,23348,1,-2.29134466179478
ARSG,22901,8.04129800381522e-07,-2.28866524017234
CDC45,8318,1.4927981707146e-16,2.28750067397506
WEE1,7465,0.00531321533627568,2.28728376952495
,,3.42936510758418e-06,2.28704996764853
ANKRD50,57182,0.00166809084851586,2.2822594224093
